,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,san joaquin,37.9333,-121.3011,296.75,48,0,2.06,US,1644522710
266,kalmunai,7.4167,81.8167,297.38,86,98,1.45,LK,1644522710
267,karangasem,-8.45,115.6167,298.64,87,100,0.34,ID,1644522711
268,vila velha,-20.3297,-40.2925,299.12,85,75,4.12,BR,1644522711
269,sao gabriel da cachoeira,-0.1303,-67.0892,303.04,74,40,2.06,BR,1644522546
270,nadvoitsy,63.8667,34.3167,266.15,95,85,3.22,RU,1644522712
271,dodoma,-6.1722,35.7395,294.1,83,75,0.0,TZ,1644522644
272,celestun,20.8667,-90.4,296.77,68,15,4.88,MX,1644522446
273,ormara,25.2088,64.6357,294.37,53,0,3.48,PK,1644522713
274,congleton,53.1631,-2.2125,279.27,87,19,3.13,GB,1644522714
275,chuy,-33.6971,-53.4616,297.85,54,9,6.76,UY,1644522714
276,laguna,38.421,-121.4238,296.6,58,0,0.89,US,1644522714
277,coahuayana,18.7333,-103.6833,303.61,26,0,3.76,MX,1644522715
278,seoul,37.5683,126.9778,268.88,90,0,1.03,KR,1644522699
279,wadi musa,30.3222,35.4793,277.25,87,75,5.02,JO,1644522716
280,ilulissat,69.2167,-51.1,246.02,86,100,2.97,GL,1644522717
281,metro,-5.1131,105.3067,295.89,88,100,2.42,ID,1644522717
282,vardo,70.3705,31.1107,270.14,80,75,4.63,NO,1644522718
283,puerto madero,14.7208,-92.4215,301.58,62,5,4.86,MX,1644522719
284,arraial do cabo,-22.9661,-42.0278,295.13,88,100,2.06,BR,1644522719
285,isabela,6.7085,121.9711,298.73,88,100,2.12,PH,1644522720
286,sioux lookout,50.1001,-91.917,263.36,79,100,5.14,CA,1644522720
287,nyaunglebin,17.95,96.7333,290.13,31,97,2.28,MM,1644522721
288,faya,18.3851,42.4509,288.21,81,3,2.72,SA,1644522522
289,saint-philippe,-21.3585,55.7679,296.92,79,30,2.37,RE,1644522722
290,tura,25.5198,90.2201,286.71,86,0,0.96,IN,1644522722
291,paka,4.6374,103.4368,297.11,94,100,2.06,MY,1644522723
292,asansol,23.6833,86.9833,287.97,68,4,3.1,IN,1644522724
293,eganville,45.5334,-77.0994,275.1,77,100,4.44,CA,1644522724
294,tres picos,15.8667,-93.5333,304.33,43,0,3.81,MX,1644522725
295,los llanos de aridane,28.6585,-17.9182,294.01,40,0,5.14,ES,1644522785
296,matara,5.9485,80.5353,297.05,89,13,1.94,LK,1644522786
297,kruisfontein,-34.0033,24.7314,290.52,82,59,1.37,ZA,1644522786
298,miramar,25.9873,-80.2323,299.27,59,20,4.63,US,1644522524
299,college,64.8569,-147.8028,251.37,77,75,2.57,US,1644522787
300,kotka,60.4664,26.9458,271.74,92,12,5.08,FI,1644522788
301,ugoofaaru,5.6667,73.0,300.55,75,66,6.05,MV,1644522788
302,villeta,5.0089,-74.4723,304.49,67,100,1.41,CO,1644522789
303,hasaki,35.7333,140.8333,274.37,80,100,13.16,JP,1644522790
304,ossora,59.2353,163.0719,247.95,71,72,1.74,RU,1644522790
305,tautira,-17.7333,-149.15,302.16,72,71,5.43,PF,1644522791
306,wakkanai,45.4094,141.6739,268.46,70,100,2.95,JP,1644522791
307,kharp,66.8014,65.8081,262.5,96,100,4.71,RU,1644522792
308,dong hoi,17.4833,106.6,293.99,93,89,0.24,VN,1644522792
309,comodoro rivadavia,-45.8667,-67.5,290.07,31,75,4.12,AR,1644522793
310,svidnik,49.3082,21.5703,276.95,99,100,2.11,SK,1644522794
311,ankazoabo,-22.2833,44.5167,297.74,73,9,3.93,MG,1644522794
312,pangody,65.85,74.4859,256.61,81,9,7.97,RU,1644522795
313,batemans bay,-35.7167,150.1833,292.7,83,100,2.82,AU,1644522796
314,concepcion,-36.827,-73.0498,296.04,40,0,8.75,CL,1644522796
315,acari,-15.4311,-74.6158,299.7,58,57,5.09,PE,1644522797
316,griffith,41.5284,-87.4237,272.74,75,100,5.66,US,1644522797
317,inverness,57.4791,-4.224,277.71,86,20,2.06,GB,1644522798
318,kavieng,-2.5744,150.7967,300.15,80,71,3.27,PG,1644522798
319,baoding,38.8511,115.4903,275.01,53,65,1.61,CN,1644522799
320,moulins,46.5,3.3333,282.92,88,99,0.99,FR,1644522800
321,thohoyandou,-22.9456,30.485,295.68,44,1,1.14,ZA,1644522800
322,walvis bay,-22.9575,14.5053,295.68,78,0,5.14,NA,1644522801
323,north bend,43.4065,-124.2243,287.51,88,0,3.6,US,1644522802
324,kununurra,-15.7667,128.7333,298.14,94,100,0.0,AU,1644522802
325,krasnoslobodsk,48.7072,44.5714,275.05,93,75,9.0,RU,1644522803
326,palmer,42.1584,-72.3287,283.51,46,75,6.17,US,1644522793
327,llanes,43.4198,-4.7549,286.41,89,100,1.36,ES,1644522804
328,grindavik,63.8424,-22.4338,273.41,74,75,8.23,IS,1644522791
329,vuktyl,63.8567,57.3094,269.7,86,100,6.51,RU,1644522805
330,ostrovnoy,68.0531,39.5131,271.31,86,100,8.25,RU,1644522805
331,natal,-5.795,-35.2094,304.51,66,20,6.17,BR,1644522806
332,san miguel,13.4833,-88.1833,310.22,25,1,1.03,SV,1644522807
333,bethel,41.3712,-73.414,284.64,51,9,1.34,US,1644522807
334,pinega,64.7001,43.3936,268.82,92,100,4.86,RU,1644522808
335,namatanai,-3.6667,152.4333,299.14,83,97,1.27,PG,1644522519
336,madimba,-10.4,40.3333,300.77,89,75,6.17,TZ,1644522809
337,gazli,40.1333,63.45,282.57,51,99,3.99,UZ,1644522810
338,maryborough,-25.5333,152.7,291.04,88,0,2.39,AU,1644522810
339,cabo san lucas,22.8909,-109.9124,300.66,59,1,0.45,MX,1644522653
340,mopipi,-21.1833,24.8833,300.64,46,98,3.17,BW,1644522811
341,uray,60.1247,64.7758,257.21,88,55,5.08,RU,1644522812
342,callaway,30.153,-85.5699,293.25,37,0,4.12,US,1644522812
343,outjo,-20.1167,16.15,291.8,90,100,5.62,NA,1644522813
344,malatya,38.5,38.0,276.18,60,100,2.57,TR,1644522874
345,marshall,34.3834,-86.3333,292.65,30,0,4.63,US,1644522874
346,boa vista,2.8197,-60.6733,307.14,38,40,5.66,BR,1644522875
347,port lincoln,-34.7333,135.8667,289.41,74,9,6.71,AU,1644522875
348,ronne,55.1009,14.7066,276.1,87,100,6.17,DK,1644522876
349,haines junction,60.7522,-137.5108,269.12,39,45,4.12,CA,1644522876
350,makakilo city,21.3469,-158.0858,297.75,67,0,0.0,US,1644522877
351,yantal,56.8471,105.2542,241.34,100,43,1.15,RU,1644522878
352,vung tau,10.346,107.0843,298.84,81,95,8.04,VN,1644522753
353,puerto quijarro,-17.7833,-57.7667,308.44,30,100,1.64,BO,1644522645
354,saravan,39.7196,45.6483,272.51,97,100,0.63,AM,1644522879
355,alice springs,-23.7,133.8833,288.9,82,0,2.06,AU,1644522879
356,taoudenni,22.6783,-3.9836,292.48,16,47,5.29,ML,1644522880
357,chokurdakh,70.6333,147.9167,239.44,96,44,3.96,RU,1644522880
358,matadi,-5.8167,13.45,299.47,73,16,2.65,CD,1644522881
359,tarata,-17.6167,-66.0167,295.83,40,52,3.28,BO,1644522882
360,tianpeng,30.9866,103.9393,276.41,76,72,1.01,CN,1644522882
361,vahan,40.5755,45.3977,270.26,95,100,2.3,AM,1644522883
362,mehamn,71.0357,27.8492,267.1,87,98,4.12,NO,1644522883
363,guilin,25.2819,110.2864,278.21,91,100,1.61,CN,1644522884
